id	상호	지점명	주소	시	구	동네라벨	lat	lng	좌표출처	영업시간	브레이크	휴무	오픈일	상태	상태변경일	형태	형태_대표	스프	스프_대표	스프_세부	계보	편의	태깅확신도	대표메뉴1	대표메뉴2	대표메뉴3	좌석	한줄소개	인스타	네이버플레이스	웨이팅링크	검증상태	최종확인일	정보출처	메모
	잇짱라멘		서울특별시 강남구 학동로4길 20, 명진빌딩 지상1층 101호 (논현동)				37.510108	127.023233	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	아카리라멘 선유도점		서울특별시 영등포구 양평로22길 25, 1층 103호 (양평동5가)				37.540047	126.895350	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	멘야유메미루 강남점		서울특별시 강남구 테헤란로4길 6, 강남역 센트럴 푸르지오 시티 지상1층 113호 (역삼동)				37.497726	127.029297	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	유즈라멘 서울역본점		서울특별시 중구 만리재로 217 (만리동1가, 1층)				37.556893	126.968192	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	텐진라멘선유도		서울특별시 영등포구 선유로49길 30-1, 1층 (양평동4가)				37.537143	126.894510	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘바 시코우		서울특별시 마포구 와우산로7길 33, 1층 101호 (상수동)				37.547351	126.921036	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	유메라멘		서울특별시 동대문구 답십리로 27, 청량리역 롯데캐슬 SKY-L65 C동 1층 117호 (전농동, 청량리역 롯데캐슬 SKY-L65)				37.578857	127.045137	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	그린라멘샵		서울특별시 중구 서애로 18-4, 1층 (필동3가)				37.560844	126.997408	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	칸키라멘 동작구청점		서울특별시 동작구 장승배기로 70, 동작구청 특별임대상가 지하1층 8호, 9호 (상도동)				37.504416	126.941116	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	라멘 토네이도		서울특별시 마포구 성미산로1길 27, 1층 (성산동)				37.559170	126.907886	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	멘야윤		서울특별시 동작구 여의대방로22길 121, 제상가동 제1층 제1411호 (신대방동, 보라매자이 더 포레스트)				37.498552	126.926090	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	계단라멘		서울특별시 양천구 목동서로 161, PARK161 지하1층 B103호 (목동)				37.529167	126.873550	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	니시무라멘 현대무역점		서울특별시 강남구 테헤란로 517, 현대백화점 지상 10층 (삼성동)				37.508595	127.059719	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	(주)도마,유즈라멘 안국		서울특별시 종로구 북촌로2길 14 (재동)				37.577828	126.986483	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	저온숙성구름카츠&마제소바 천호점		서울특별시 강동구 구천면로41길 6, 1층 라호 (천호동)				37.546435	127.133706	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	(주)킨카패밀리코리아1킨톤라멘대학로점		서울특별시 종로구 대학로10길 15-15, 1층 (동숭동)				37.582495	127.002833	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
